Dataset,Model,MemSize,J&F-Mean
DAVIS,base_plus,0,0.044
DAVIS,base_plus,1,0.865
DAVIS,base_plus,2,0.872
DAVIS,base_plus,3,0.879
DAVIS,base_plus,4,0.882
DAVIS,base_plus,5,0.883
DAVIS,base_plus,6,0.884
DAVIS,base_plus,7,0.886
DAVIS,large,0,0.203
DAVIS,large,1,0.882
DAVIS,large,2,0.885
DAVIS,large,3,0.883
DAVIS,large,4,0.889
DAVIS,large,5,0.888
DAVIS,large,6,0.888
DAVIS,large,7,0.894
MOSE,base_plus,0,0.162
MOSE,base_plus,1,0.615
MOSE,base_plus,2,0.637
MOSE,base_plus,3,0.643
MOSE,base_plus,4,0.641
MOSE,base_plus,5,0.642
MOSE,base_plus,6,0.643
MOSE,base_plus,7,0.638
MOSE,large,0,0.182
MOSE,large,1,0.625
MOSE,large,2,0.645
MOSE,large,3,0.649
MOSE,large,4,0.648
MOSE,large,5,0.647
MOSE,large,6,0.649
MOSE,large,7,0.645
