Dataset,Model,MemSize,NumGPUs,GPU_Names,InferenceTime_s
DAVIS,base_plus,0,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",60.612638374
DAVIS,base_plus,1,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",59.612886852
DAVIS,base_plus,2,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",58.723061094
DAVIS,base_plus,3,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",58.023502447
DAVIS,base_plus,4,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",58.042444758
DAVIS,base_plus,5,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",58.069217191
DAVIS,base_plus,6,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",62.813951641
DAVIS,base_plus,7,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",68.234393890
DAVIS,large,0,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",69.787119195
DAVIS,large,1,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",77.957880444
DAVIS,large,2,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",66.634104688
DAVIS,large,3,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",79.249172660
DAVIS,large,4,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",74.750182598
DAVIS,large,5,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",76.787115772
DAVIS,large,6,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",80.127750069
DAVIS,large,7,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",78.415719375
