Dataset,Model,MemSize,NumGPUs,GPU_Names,InferenceTime_s
MOSE,base_plus,0,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",501.064685440
MOSE,base_plus,1,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",442.035976719
MOSE,base_plus,2,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",448.957210765
MOSE,base_plus,3,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",466.860026810
MOSE,base_plus,4,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",483.197242715
MOSE,base_plus,5,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",480.921868196
MOSE,base_plus,6,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",492.040030203
MOSE,base_plus,7,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",505.655659991
MOSE,large,0,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",509.291331271
MOSE,large,1,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",561.136471542
MOSE,large,2,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",573.129276931
MOSE,large,3,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",584.859630678
MOSE,large,4,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",592.710953919
MOSE,large,5,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",600.223148610
MOSE,large,6,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",617.537120231
MOSE,large,7,8,"NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4,NVIDIA L4",622.159021061
